memory,directory,type
0xFEBDBC02,Ford_Ac_LROS_input_populate.Autocode_Lros_InputSignals.FeatureInpSig_General.LROS_FUS_GrabIndex,int16
0xFEBDF8F0,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.a0,float32
0xFEBDF8F4,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.a1,float32
0xFEBDF8F8,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.a2,float32
0xFEBDF8FC,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.a3,float32
0xFEBDF900,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.range,float32
0xFEBDF904,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.status,1
0xFEBDF905,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.asilCounterCheck,1
0xFEBDF906,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarker.asilCrcCheck,
0xFEBDF908,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerConf.confDIMON,1
0xFEBDF909,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerConf.confLKA,confLKA
0xFEBDF90A,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerConf.confTjaPrimary,1
0xFEBDF90B,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerConf.confTjaLongTerm,1
0xFEBDF90C,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerConf.tuneConfidence,
0xFEBDF910,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerType,
0xFEBDF914,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerColor,
0xFEBDF994,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborRightMarker.laneMarker.a0,float32
0xFEBDF998,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborRightMarker.laneMarker.a1,float32
0xFEBDF99C,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborRightMarker.laneMarker.a2,float32
0xFEBDF9A0,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborRightMarker.laneMarker.a3,float32
0xFEBDF9A4,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborRightMarker.laneMarker.range,float32
0xFEBDF9A8,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborRightMarker.laneMarker.status,1
0xFEBDF9A9,Ford_Ac_LROS_input_populate.LROS_vis_road_data_msg.road_info.roadMarkerInfo.neighborRightMarker.laneMarker.asilCounterCheck,1
